,clusters_np,filenames_np
0,1,DAM024_P_DAP_KID.jpg
1,1,DAM081_P_DAP_KID.jpg
2,2,DAMa016_T_DAP_ADULT.jpg
3,1,DAM064_P_DAP_KID.jpg
4,2,DAM013_F_DAP_KID.jpg
5,0,DAMa017_T_DAP_ADULT.jpg
6,3,DAM016_T_DAP_KID.jpg
7,3,DAM011_P_DAP_KID.jpg
8,1,DAM032_P_DAP_KID.jpg
9,1,DAM070_T_DAP_KID.jpg
10,1,DAM040_F_DAP_KID.jpg
11,4,DAMa011_T_DAP_ADULT.jpg
12,1,DAM026_F_DAP_KID.jpg
13,2,DAM025_F_DAP_KID.jpg
14,1,DAM025_P_DAP_KID.jpg
15,2,DAM026_T_DAP_KID.jpg
16,3,DAM005_F_DAP_KID.jpg
17,1,DAM064_F_DAP_KID.jpg
18,3,DAM012_F_DAP_KID.jpg
19,1,DAM081_T_DAP_KID.jpg
20,2,DAM026_P_DAP_KID.jpg
21,2,DAM062_T_DAP_KID.jpg
22,0,DAMa014_F_DAP_ADULT.jpg
23,1,DAM081_F_DAP_KID.jpg
24,1,DAM054_T_DAP_KID.jpg
25,4,DAMa017_F_DAP_ADULT.jpg
26,3,DAM015_P_DAP_KID.jpg
27,1,DAM003_F_DAP_KID.jpg
28,2,DAM037_F_DAP_KID.jpg
29,4,DAMa002_F_DAP_ADULT.jpg
30,3,DAM074_T_DAP_KID.jpg
31,1,DAMa005_T_DAP_ADULT.jpg
32,1,DAM048_F_DAP_KID.jpg
33,4,DAMa012_T_DAP_ADULT.jpg
34,4,DAM002_P_DAP_KID.jpg
35,2,DAMa005_F_DAP_ADULT.jpg
36,1,DAM051_F_DAP_KID.jpg
37,4,DAMa019_T_DAP_ADULT.jpg
38,3,DAM053_F_DAP_KID.jpg
39,1,DAM018_F_DAP_KID.jpg
40,4,DAM036_T_DAP_KID.jpg
41,1,DAM084_P_DAP_KID.jpg
42,4,DAM030_P_DAP_KID.jpg
43,3,DAM011_T_DAP_KID.jpg
44,3,DAM009_T_DAP_KID.jpg
45,4,DAM078_P_DAP_KID.jpg
46,1,DAM072_P_DAP_KID.jpg
47,4,DAM003_P_DAP_KID.jpg
48,1,DAM070_F_DAP_KID.jpg
49,3,DAM049_F_DAP_KID.jpg
50,2,DAM085_F_DAP_KID.jpg
51,1,DAMa021_F_DAP_ADULT.jpg
52,3,DAM012_T_DAP_KID.jpg
53,1,DAM006_T_DAP_KID.jpg
54,4,DAMa023_T_DAP_ADULT.jpg
55,0,DAMa013_T_DAP_ADULT.jpg
56,1,DAM040_P_DAP_KID.jpg
57,3,DAM016_P_DAP_KID.jpg
58,1,DAM051_P_DAP_KID.jpg
59,1,DAM035_T_DAP_KID.jpg
60,2,DAMa004_T_DAP_ADULT.jpg
61,3,DAM004_P_DAP_KID.jpg
62,1,DAM013_T_DAP_KID.jpg
63,2,DAM021_T_DAP_KID.jpg
64,2,DAM059_P_DAP_KID.jpg
65,2,DAM072_F_DAP_KID.jpg
66,1,DAM019_T_DAP_KID.jpg
67,3,DAMa006_F_DAP_ADULT.jpg
68,1,DAM076_P_DAP_KID.jpg
69,1,DAM041_T_DAP_KID.jpg
70,3,DAM080_F_DAP_KID.jpg
71,4,DAM028_P_DAP_KID.jpg
72,1,DAM071_P_DAP_KID.jpg
73,1,DAM028_T_DAP_KID.jpg
74,4,DAM036_F_DAP_KID.jpg
75,4,DAMa003_F_DAP_ADULT.jpg
76,0,DAMa007_T_DAP_ADULT.jpg
77,4,DAMa002_T_DAP_ADULT.jpg
78,1,DAM043_F_DAP_KID.jpg
79,3,DAM054_P_DAP_KID.jpg
80,1,DAM007_T_DAP_KID.jpg
81,3,DAM074_F_DAP_KID.jpg
82,4,DAMa003_T_DAP_ADULT.jpg
83,1,DAMa022_T_DAP_ADULT.jpg
84,1,DAM041_F_DAP_KID.jpg
85,1,DAM066_P_DAP_KID.jpg
86,3,DAM065_T_DAP_KID.jpg
87,1,DAM055_T_DAP_KID.jpg
88,1,DAM076_T_DAP_KID.jpg
89,4,DAM060_T_DAP_KID.jpg
90,4,DAM001_T_DAP_KID.jpg
91,1,DAM024_T_DAP_KID.jpg
92,3,DAM011_F_DAP_KID.jpg
93,1,DAM055_F_DAP_KID.jpg
94,4,DAMa015_DAP_ADULT.jpg
95,0,DAMa024_F_DAP_ADULT.jpg
96,2,DAMa008_T_DAP_ADULT.jpg
97,2,DAMa020_F_DAP_ADULT.jpg
98,1,DAM027_P_DAP_KID.jpg
99,2,DAMa025_T_DAP_ADULT.jpg
100,1,DAM022_P_DAP_KID.jpg
101,3,DAM005_T_DAP_KID.jpg
102,3,DAM016_F_DAP_KID.jpg
103,3,DAM065_F_DAP_KID.jpg
104,0,DAMa013_F_DAP_ADULT.jpg
105,3,DAM042_P_DAP_KID.jpg
106,3,DAM022_F_DAP_KID.jpg
107,2,DAM029_F_DAP_KID.jpg
108,1,DAM046_T_DAP_KID.jpg
109,1,DAM057_F_DAP_KID.jpg
110,1,DAM001_F_DAP_KID.jpg
111,1,DAM077_F_DAP_KID.jpg
112,2,DAM073_T_DAP_KID.jpg
113,4,DAM037_P_DAP_KID.jpg
114,2,DAM008_P_DAP_KID.jpg
115,1,DAM076_F_DAP_KID.jpg
116,2,DAMa011_F_DAP_ADULT.jpg
117,0,DAMa025_F_DAP_ADULT.jpg
