id,age_yr,female
DAM001,5.7,0
DAM002,5.42,1
DAM003,4.53,1
DAM004,5.37,0
DAM005,4.19,0
DAM006,4.3,1
DAM007,4.2,0
DAM008,4.4,0
DAM009,4.02,1
DAM00T1,7.9,1
DAM010,2.32,1
DAM011,3.73,1
DAM012,3.81,1
DAM013,3.28,0
DAM014,3.19,0
DAM015,2.93,1
DAM016,4.24,1
DAM018,5.18,1
DAM019,3.07,0
DAM020,5.03,1
DAM021,7.15,1
DAM022,4.25,1
DAM023,4.29,0
DAM024,4.29,0
DAM025,4.23,1
DAM026,5.32,0
DAM027,3.78,0
DAM028,3.47,1
DAM029,5.7,0
DAM030,5.3,1
DAM031,5.04,1
DAM032,2.67,0
DAM033,7.7,1
DAM035,4.48,1
DAM036,3.9,1
DAM037,3.92,1
DAM039,4.31,1
DAM040,4.99,1
DAM041,4.29,1
DAM042,2.83,1
DAM043,3.84,0
DAM044,3.45,0
DAM045,3.81,0
DAM046,2.08,1
DAM047,2.43,0
DAM048,4.5,1
DAM049,2.76,1
DAM050,2.22,1
DAM051,3.77,1
DAM052,3.64,1
DAM053,3.51,1
DAM054,1.83,0
DAM055,6.21,1
DAM056,1.87,0
DAM057,2.46,1
DAM058,4.16,0
DAM059,2.63,1
DAM060,5.21,1
DAM062,6.3,0
DAM063,3.53,1
DAM064,4.36,0
DAM065,NA,NA
DAM066,2.57,1
DAM067,4.71,1
DAM068,5.18,1
DAM070,2.44,0
DAM071,2.98,1
DAM072,2.55,1
DAM073,2.52,1
DAM074,2.59,0
DAM075,2.18,0
DAM076,5.25,1
DAM077,4.96,1
DAM078,7.65,1
DAM079,3.67,1
DAM080,2.38,0
DAM081,4.08,0
DAM082,2.09,1
DAM083,2.34,1
DAM084,2.58,1
DAM085,2.32,1
DAM086,2.26,0
