,round_epochs,val_loss,val_acc,val_fmeasure_acc,loss,acc,fmeasure_acc,first_neuron,activation,optimizer,losses,hidden_layers,batch_size,epochs,dropout,kernel_initializer,lr,last_activation,
0,10,0.698433903130618,0.2909090952439742,0.4500506980852647,0.7007251238822937,0.20000000715255736,0.2829029631614685,8,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,2,30,10,0.1,uniform,0.001,sigmoid,0
1,50,0.6970530423251066,0.2909090952439742,0.4500506980852647,0.6994786548614502,0.20000000357627867,0.29132465600967405,4,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,1,30,50,0.1,uniform,0.01,sigmoid,1
2,4,0.6908351562239907,0.709090921011838,0.0,0.68956063747406,0.8320000040531158,0.0,4,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,2,10,4,0.0,normal,0.01,sigmoid,2
3,10,0.6858604441989552,0.709090921011838,0.0,0.6815934801101684,0.8320000028610229,0.0,8,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,1,10,10,0.0,uniform,0.01,sigmoid,3
4,50,0.6918552192774686,0.709090921011838,0.35656563531268726,0.6910182762145997,0.8320000052452088,0.23589741110801696,4,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,2,10,50,0.1,uniform,0.01,sigmoid,4
5,25,0.6818766810677268,0.709090921011838,0.4500506980852647,0.675665397644043,0.8320000100135804,0.2869467532634735,4,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,1,30,25,0.0,normal,0.1,sigmoid,5
6,4,0.6931950558315624,0.4727272689342499,0.39999996803023596,0.6933697962760925,0.39200000643730165,0.25442292511463166,4,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,0,30,4,0.1,uniform,0.01,sigmoid,6
7,10,0.6930708993564952,0.4909090833230452,0.19480516016483307,0.6928532195091247,0.7120000100135804,0.29999996423721315,8,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,0,30,10,0.1,uniform,0.01,sigmoid,7
8,10,0.6962341937151822,0.2909090952439742,0.4500506980852647,0.6978996825218201,0.35200001001358033,0.32244827747344973,4,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,2,30,10,0.2,normal,0.1,sigmoid,8
9,4,0.7205035361376676,0.2909090938893231,0.43722939220341767,0.7340373611450195,0.16800000369548798,0.2729403579235077,32,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,2,10,4,0.2,uniform,0.001,sigmoid,9
10,50,0.6185983419418335,0.7090908993374218,0.44729338721795514,0.5521118712425231,0.832000013589859,0.32488513350486753,16,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,0,20,50,0.1,normal,0.1,sigmoid,10
11,10,0.6925321058793501,0.49090908603234723,0.42346252636475995,0.6930921483039856,0.5120000076293946,0.28380388736724854,32,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,2,30,10,0.0,normal,0.1,sigmoid,11
12,10,0.6930845271457325,0.47272729060866614,0.2510822063142603,0.6928773546218872,0.6000000095367432,0.24721801280975342,4,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,1,30,10,0.1,normal,0.001,sigmoid,12
13,25,0.6817192110148343,0.7272727218541232,0.4500506980852647,0.6761007404327393,0.8159999966621398,0.3235317528247833,4,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,1,30,25,0.2,normal,0.1,sigmoid,13
14,10,0.6908671855926514,0.7454545443708246,0.19480518861250443,0.688734278678894,0.8400000047683716,0.07999998569488526,32,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,0,20,10,0.1,uniform,0.1,sigmoid,14
15,4,0.6854673244736411,0.709090921011838,0.0,0.680536060333252,0.791999990940094,0.2384761691093445,4,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,2,30,4,0.1,normal,0.1,sigmoid,15
16,25,0.6846615997227755,0.763636356050318,0.29752063751220703,0.6786999416351318,0.8320000100135804,0.1733333158493042,16,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,0,30,25,0.0,uniform,0.1,sigmoid,16
17,25,0.6924915584650907,0.6727272705598311,0.2832873897119002,0.6924877190589904,0.6880000066757203,0.11999998092651368,32,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,1,20,25,0.0,uniform,0.001,sigmoid,17
18,50,0.6922591653737155,0.709090915593234,0.18181817098097366,0.691859040260315,0.8160000038146973,0.2453333044052124,4,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,0,30,50,0.0,normal,0.001,sigmoid,18
19,50,0.7119416215203025,0.2909090938893231,0.44729338721795514,0.7224276804924011,0.17600000500679017,0.28695650219917296,32,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,0,20,50,0.1,uniform,0.01,sigmoid,19
20,50,0.6885102120312777,0.709090921011838,0.0727272629737854,0.6837732434272766,0.8320000052452088,0.07999998807907105,32,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,2,10,50,0.2,uniform,0.01,sigmoid,20
21,4,0.6951082944869995,0.2909090938893231,0.44729338721795514,0.6960127782821656,0.16800000429153442,0.28218178272247313,8,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,1,20,4,0.0,normal,0.01,sigmoid,21
22,50,0.6852799708192999,0.7090908993374218,0.0,0.6805601382255554,0.8320000123977661,0.0,16,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,2,20,50,0.0,uniform,0.01,sigmoid,22
23,4,0.6835090843113986,0.709090921011838,0.0,0.6774645590782166,0.8159999966621398,0.07999999523162842,4,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,0,30,4,0.1,normal,0.1,sigmoid,23
24,25,0.6846598549322649,0.7090908993374218,0.0,0.6789986157417297,0.8320000195503234,0.05333333015441895,4,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,0,20,25,0.0,uniform,0.1,sigmoid,24
25,50,0.6538903496482156,0.709090921011838,0.28787875175476074,0.6107209873199463,0.8479999995231629,0.2399999713897705,32,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,0,10,50,0.0,normal,0.1,sigmoid,25
26,50,0.6848488829352639,0.709090921011838,0.0,0.6799368906021118,0.84,0.14666664838790894,4,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,1,10,50,0.1,uniform,0.01,sigmoid,26
27,4,0.6921706633134321,0.7272727326913313,0.12121210315010765,0.6909596252441407,0.8399999904632568,0.031999995708465574,8,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,0,10,4,0.1,normal,0.001,sigmoid,27
28,25,0.7023738026618958,0.2909090938893231,0.43722939220341767,0.7077292490005493,0.16800000488758088,0.2799067211151123,4,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,2,10,25,0.0,normal,0.001,sigmoid,28
29,4,0.6914807828989896,0.709090921011838,0.0,0.690219030380249,0.7440000009536744,0.1573333239555359,4,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,1,10,4,0.1,uniform,0.01,sigmoid,29
30,10,0.685504907911474,0.709090921011838,0.0,0.6809479904174804,0.8320000100135804,0.0,4,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,0,30,10,0.0,uniform,0.01,sigmoid,30
31,50,0.6920049786567688,0.709090921011838,0.28282824700528925,0.6900638556480407,0.84,0.3671110689640045,16,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,1,10,50,0.1,normal,0.01,sigmoid,31
32,4,0.6928533424030651,0.6363636580380526,0.3240092938596552,0.692999119758606,0.6399999976158142,0.3057142496109009,4,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,2,20,4,0.0,normal,0.01,sigmoid,32
33,4,0.6929126002571799,0.6545454480431296,0.48217233744534577,0.6929892492294312,0.6319999957084655,0.28944090247154236,8,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,1,20,4,0.2,uniform,0.1,sigmoid,33
34,4,0.7012524117122997,0.2909090938893231,0.43722939220341767,0.7059364414215088,0.20000000536441803,0.2799067294597626,16,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,2,10,4,0.1,uniform,0.001,sigmoid,34
35,50,0.6484936746683988,0.709090921011838,0.0,0.6174226093292237,0.8320000100135804,0.0,8,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,1,30,50,0.0,uniform,0.1,sigmoid,35
36,4,0.714730522849343,0.2909090938893231,0.44729338721795514,0.7300530862808228,0.16800000488758088,0.28323581218719485,8,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,1,20,4,0.1,normal,0.1,sigmoid,36
37,25,0.6706894473596052,0.7090908993374218,0.0,0.6529422426223754,0.8400000095367431,0.06399999141693115,16,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,0,20,25,0.2,normal,0.01,sigmoid,37
38,50,0.693131295117465,0.5818181823600422,0.40404037453911523,0.6930862951278687,0.5840000057220459,0.31834916353225706,8,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,2,10,50,0.1,uniform,0.001,sigmoid,38
39,50,0.6861749887466431,0.709090921011838,0.49350644783540204,0.6819152688980102,0.8320000028610229,0.3103949975967407,4,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,0,30,50,0.2,normal,0.1,sigmoid,39
40,4,0.6933623335578225,0.3090909150513736,0.4259739816188812,0.6915928792953491,0.5280000126361847,0.27123806476593015,16,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,0,10,4,0.2,uniform,0.001,sigmoid,40
41,4,0.6925925016403198,0.6909091147509488,0.16528924757784064,0.6918120598793029,0.7599999928474426,0.187692289352417,8,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,1,30,4,0.2,normal,0.01,sigmoid,41
